PCR-GLOBWB ID;Catchment [Km2];Latitude;Longitude;Reservoir Size (million m3)
85.00000;0.00000;-19.01166;47.70310;125.00000
86.00000;2317.57953;31.35488;-8.13537;96.00000
87.00000;63933.89256;5.79062;-6.63553;83.00000
88.00000;44046.66134;32.72587;-7.92684;83.00000
89.00000;7647.00653;33.91343;-4.64251;81.50000
90.00000;299.67296;36.76137;9.00252;81.00000
91.00000;20883.15939;-7.38545;21.18051;78.00000
92.00000;603.88104;36.74728;8.74145;73.00000
93.00000;1610.35863;-12.21398;16.52179;61.70000
94.00000;4650.33808;-14.69940;28.82190;41.40000
95.00000;1530.44808;8.84900;9.38890;31.00000
96.00000;13381.00708;-10.71840;27.28390;28.00000
97.00000;18903.68148;-10.32530;25.42770;25.00000
98.00000;864.34787;-26.40000;31.16667;23.60000
99.00000;12389.71871;8.39250;39.35277;22.40000
100.00000;12389.71871;8.39320;39.35200;22.40000
101.00000;0.21743;8.35972;-13.19938;20.50000
102.00000;3733375.35274;-5.51613;13.62162;20.00000
103.00000;122352.21176;-9.75338;14.48084;20.00000
104.00000;9625.64776;-0.79527;37.74936;20.00000
105.00000;9824.88987;-0.80622;37.81074;16.00000
106.00000;9824.88987;-0.80622;37.81074;16.00000
107.00000;855.39380;9.92495;-13.10180;14.00000
108.00000;132219.39602;4.07806;10.46500;10.00000
109.00000;45523.42180;32.93581;-8.06347;9.50000
110.00000;280.57535;-28.76110;28.45823;6.00000
111.00000;133951.82294;3.81278;10.12778;5.80000
112.00000;33438.34172;36.79976;9.77309;5.00000
113.00000;71003.49431;14.27670;35.89690;2.70000
114.00000;16848.85264;-12.47080;13.73190;2.20000
115.00000;49023.12617;33.14261;-8.10668;2.00000
116.00000;39057.22974;-5.28330;38.60000;1.90000
117.00000;7514.19573;-2.55105;28.87959;1.50000
118.00000;7483.18524;-2.50916;28.87503;1.50000
119.00000;39144.30750;-5.35000;38.65000;1.40000
120.00000;6220.90318;-19.52600;33.49300;1.20000
121.00000;6220.90318;-19.52600;33.49300;1.20000
122.00000;1530.44808;8.84900;9.38890;1.16000
123.00000;9466.42229;-8.81670;20.49170;1.00000
124.00000;282.17517;-8.40000;36.35000;1.00000
125.00000;14528.18256;-4.77056;14.89389;0.97500
126.00000;14528.18256;-4.77056;14.89389;0.97500
