PCR-GLOBWB ID,Catchment [Km2],Latitude,Longitude,Reservoir Size (million m3),Surface area
175.00000,0.00000,-16.52209,28.76167,,
176.00000,0.00000,-16.52099,28.76140,,
177.00000,0.00000,,,,
178.00000,0.00000,-4.29366,27.13287,,
179.00000,0.00000,0.45500,10.28100,,
180.00000,0.00000,11.06149,-12.45755,,
181.00000,0.00000,0.45029,33.18558,,
182.00000,0.00000,7.01171,0.64433,,
183.00000,0.00000,6.12010,0.12550,,
184.00000,0.00000,-28.40532,28.36585,,
185.00000,0.00000,9.40078,8.74594,,
186.00000,0.00000,9.82901,8.66801,,
187.00000,0.00000,-0.20933,30.11695,,
188.00000,0.00000,-5.03356,28.94910,,
189.00000,0.00000,,,,
190.00000,0.00000,,,,
191.00000,0.00000,1.05118,15.69707,,
192.00000,0.00000,8.57960,-9.43043,,
193.00000,0.00000,-7.37424,20.82209,,
194.00000,0.00000,0.08370,29.76194,,
195.00000,0.00000,,,,
196.00000,0.00000,-6.50139,20.88944,,
197.00000,0.00000,-14.23330,29.11390,,
198.00000,0.00000,-8.93330,31.15000,,
199.00000,0.00000,-13.35000,31.26670,,
200.00000,0.00000,-13.35000,31.26670,,
201.00000,0.00000,-2.70583,26.29389,,
202.00000,0.00000,-26.61510,31.35309,,
203.00000,0.00000,0.47859,30.27307,,
204.00000,0.00000,8.63632,-11.64443,,
205.00000,0.00000,-4.06744,27.99351,,
206.00000,0.00000,36.58214,5.58448,,
207.00000,0.00000,-3.83040,30.32911,,
208.00000,0.00000,-1.90194,11.90750,,
209.00000,0.00000,4.30060,21.18330,,
210.00000,0.00000,4.41670,18.79440,,
211.00000,0.00000,-7.30000,27.45000,,
212.00000,0.00000,6.51047,-10.65107,,
213.00000,0.00000,0.06650,30.32135,,
214.00000,0.00000,-5.84306,13.49972,,
215.00000,0.00000,0.31852,30.10040,,
216.00000,0.00000,0.26100,30.14932,,
217.00000,0.00000,,,,
218.00000,0.00000,-1.58169,29.65494,,
219.00000,0.00000,,,,
220.00000,0.00000,-17.84190,25.85430,,
221.00000,0.00000,-1.31846,30.07892,,
222.00000,0.00000,-5.24850,29.84766,,
223.00000,0.00000,26.04600,32.24863,,
224.00000,0.00000,0.61564,29.97944,,
225.00000,0.00000,-28.75524,20.62052,,
226.00000,0.00000,29.99694,31.24631,,
227.00000,0.00000,9.83136,8.67053,,
228.00000,0.00000,10.67819,-5.10223,,
229.00000,0.00000,-15.05740,35.22505,,
230.00000,0.00000,-15.05740,35.22505,,
231.00000,0.00000,1.12076,30.66857,,
232.00000,0.00000,-1.47670,29.75070,,
233.00000,0.00000,2.42833,30.97333,,
234.00000,0.00000,0.21238,30.00547,,
235.00000,0.00000,35.24558,-5.29090,,
236.00000,0.00000,9.77330,8.69606,,
237.00000,0.00000,-7.66670,28.16670,,
238.00000,0.00000,8.75837,-12.78683,,
239.00000,0.00000,-1.77324,13.55151,,
240.00000,0.00000,3.38694,8.74917,,
241.00000,0.00000,-2.46829,29.55334,,
242.00000,0.00000,-2.89612,29.47349,,
243.00000,0.00000,0.38625,30.18529,,
244.00000,0.00000,-0.35257,34.81352,,
